DateYYYYMM;DaysInMonth;TotalPosts;RemainingPosts;AnsweredRate;FlairsWhoAnswered;FlairAnsweredQuestions;AvgFlairsWhoAnsweredPerDay;AvgFlairAnswersPerDay;Under2TotalPosts;Under2RemainingPosts;Under2AnsweredRate;Under2FlairsWhoAnswered;Under2FlairAnsweredQuestions;Under2AvgFlairsWhoAnsweredPerDay;Under2AvgFlairAnswersPerDay;Over1TotalPosts;Over1RemainingPosts;Over1AnsweredRate;Over1FlairsWhoAnswered;Over1FlairAnsweredQuestions;Over1AvgFlairsWhoAnsweredPerDay;Over1AvgFlairAnswersPerDay;Over10TotalPosts;Over10RemainingPosts;Over10AnsweredRate;Over10FlairsWhoAnswered;Over10FlairAnsweredQuestions;Over10AvgFlairsWhoAnsweredPerDay;Over10AvgFlairAnswersPerDay;Over100TotalPosts;Over100RemainingPosts;Over100AnsweredRate;Over100FlairsWhoAnswered;Over100FlairAnsweredQuestions;Over100AvgFlairsWhoAnsweredPerDay;Over100AvgFlairAnswersPerDay;Over1000TotalPosts;Over1000RemainingPosts;Over1000AnsweredRate;Over1000FlairsWhoAnswered;Over1000FlairAnsweredQuestions;Over1000AvgFlairsWhoAnsweredPerDay;Over1000AvgFlairAnswersPerDay
2017/11;30;5088;3579;38.75;155;832;5.16;27.73;1769;736;24.04;53;107;1.76;3.56;2120;1755;32.3;106;360;3.53;12;972;873;53.6;105;261;3.5;8.69;179;168;76.19;59;76;1.96;2.53;48;47;100;25;28;0.83;0.93
2017/12;31;4852;3336;40.55;165;731;5.32;23.58;1572;589;26.14;54;89;1.74;2.87;2007;1593;33.52;100;291;3.22;9.38;1008;918;51.19;112;256;3.61;8.25;220;193;78.75;59;63;1.9;2.03;45;43;100;29;32;0.93;1.03
2018/01;31;5159;3717;38.68;162;856;5.22;27.61;1467;554;22.92;41;74;1.32;2.38;2394;1976;32.38;104;386;3.35;12.45;1083;990;50.8;123;285;3.96;9.19;174;158;81.64;65;79;2.09;2.54;41;39;100;28;32;0.9;1.03
2018/02;28;4829;3456;40.76;148;795;5.28;28.39;1387;519;21.96;40;60;1.42;2.14;2147;1751;33.98;103;342;3.67;12.21;1055;957;52.66;101;281;3.6;10.03;196;185;82.7;58;78;2.07;2.78;44;44;97.72;32;34;1.14;1.21
2018/03;31;5466;3830;40.41;152;799;4.9;25.77;1550;506;27.07;37;55;1.19;1.77;2437;1947;32.35;102;349;3.29;11.25;1200;1106;51.53;100;281;3.22;9.06;227;221;73.75;63;84;2.03;2.7;52;50;96;40;30;1.29;0.96
2018/04;30;5507;3875;40.59;148;783;4.93;26.1;1613;540;29.44;38;55;1.26;1.83;2406;1966;32.65;95;321;3.16;10.7;1195;1096;51.36;113;293;3.76;9.76;241;222;73.87;58;83;1.93;2.76;52;51;88.23;27;31;0.9;1.03
2018/05;31;5324;3828;37.59;151;729;4.87;23.51;1621;644;27.01;51;100;1.64;3.22;2280;1853;29.46;103;292;3.32;9.41;1154;1076;48.04;104;242;3.35;7.8;218;206;75.24;59;69;1.9;2.22;51;49;95.91;18;26;0.58;0.83
2018/06;30;5226;3619;36.63;144;714;4.8;23.8;1713;666;22.37;44;80;1.46;2.66;2205;1745;31.97;98;309;3.26;10.3;1062;971;45.1;99;231;3.3;7.7;198;190;70.52;53;60;1.76;2;48;47;100;27;34;0.9;1.13
2018/07;31;5299;3721;38.59;145;786;4.67;25.35;1563;544;28.49;42;87;1.35;2.8;2304;1850;30.1;92;331;2.96;10.67;1179;1091;50.59;104;283;3.35;9.12;204;188;67.55;54;60;1.74;1.93;49;48;93.75;26;25;0.83;0.8
2018/08;31;5046;3586;38.65;132;671;4.25;21.64;1420;481;27.02;36;55;1.16;1.77;2244;1835;28.99;82;257;2.64;8.29;1138;1050;52.47;104;279;3.35;9;187;167;74.85;45;52;1.45;1.67;57;53;90.56;31;28;1;0.9
2018/09;30;4986;3575;37.37;138;643;4.59;21.43;1541;615;25.36;47;75;1.56;2.5;2018;1637;29.5;84;235;2.8;7.83;1155;1063;45.9;105;235;3.5;7.83;217;207;76.81;52;71;1.73;2.36;55;53;94.33;25;27;0.83;0.9
2018/10;31;5410;3770;35.01;135;582;4.35;18.77;1595;508;22.24;41;55;1.32;1.77;2398;1934;26.21;91;237;2.93;7.64;1182;1103;47.59;90;207;2.9;6.67;183;175;73.71;42;62;1.35;2;52;50;92;24;21;0.77;0.67
2018/11;30;5485;3758;29.9;134;549;4.46;18.3;1768;618;21.52;47;71;1.56;2.36;2413;1928;22.92;84;199;2.8;6.63;1085;1000;39.1;89;189;2.96;6.3;170;163;67.48;46;50;1.53;1.66;49;49;97.95;41;40;1.36;1.33
2018/12;31;5204;3615;33.96;130;585;4.19;18.87;1355;429;20.51;28;39;0.9;1.25;2303;1768;24.88;85;210;2.74;6.77;1279;1169;43.37;85;237;2.74;7.64;211;195;71.28;42;67;1.35;2.16;56;54;100;32;32;1.03;1.03
2019/01;31;5251;3611;34.53;135;667;4.35;21.51;1376;430;22.32;37;49;1.19;1.58;2336;1782;25.47;79;254;2.54;8.19;1282;1155;44.58;100;277;3.22;8.93;196;185;67.02;44;53;1.41;1.7;61;59;98.3;28;34;0.9;1.09
2019/02;28;4842;3398;31.04;128;532;4.57;19;1386;460;20.43;29;45;1.03;1.6;2283;1842;23.01;83;221;2.96;7.89;950;879;42.54;89;188;3.17;6.71;171;167;68.86;39;48;1.39;1.71;52;50;96;28;30;1;1.07
2019/03;31;5344;3595;33.32;127;626;4.09;20.19;1729;615;21.13;47;75;1.51;2.41;2314;1785;26.27;73;228;2.35;7.35;1077;981;43.52;89;227;2.87;7.32;166;159;75.47;43;63;1.38;2.03;58;55;94.54;34;33;1.09;1.06
2019/04;30;5308;3539;29.89;124;536;4.13;17.86;1830;679;19.29;46;65;1.53;2.16;2381;1848;24.29;92;244;3.06;8.13;889;816;40.19;86;156;2.86;5.2;154;144;71.52;35;48;1.16;1.6;54;52;90.38;18;23;0.6;0.76
2019/05;31;5049;3361;30.67;130;524;4.19;16.9;1884;740;16.08;42;65;1.35;2.09;2062;1611;26.44;84;213;2.7;6.87;883;809;43.13;88;178;2.83;5.74;163;147;59.86;34;37;1.09;1.19;57;54;90.74;29;31;0.93;1
2019/06;30;4784;3270;31.13;119;509;3.96;16.96;1713;738;19.78;46;83;1.53;2.76;2059;1614;25.09;77;203;2.56;6.76;848;764;44.89;70;161;2.33;5.36;114;104;73.07;33;32;1.1;1.06;50;50;96;27;30;0.9;1
2019/07;31;5281;3710;32.66;126;620;4.06;20;1855;794;18.76;38;77;1.22;2.48;2281;1857;28.97;78;256;2.51;8.25;945;872;42.88;88;202;2.83;6.51;148;139;75.53;44;57;1.41;1.83;52;48;95.83;37;28;1.19;0.9
2019/08;31;5061;3396;33.51;144;674;4.64;21.74;1911;765;20.78;50;91;1.61;2.93;2162;1715;31.13;104;319;3.35;10.29;813;753;43.29;90;191;2.9;6.16;128;119;64.7;38;42;1.22;1.35;47;44;95.45;39;31;1.25;1
2019/09;30;4559;3137;35.89;134;681;4.46;22.7;1723;709;24.25;56;102;1.86;3.4;1943;1602;31.52;86;312;2.86;10.4;729;674;49.1;97;209;3.23;6.96;117;109;70.64;34;29;1.13;0.96;47;43;95.34;29;29;0.96;0.96
2019/10;31;4581;3160;34.9;128;577;4.12;18.61;1653;672;22.47;46;91;1.48;2.93;2024;1654;30.95;87;265;2.8;8.54;738;682;47.8;81;160;2.61;5.16;112;102;66.66;32;32;1.03;1.03;54;50;92;27;29;0.87;0.93
2019/11;30;4740;3169;36.73;152;657;5.06;21.9;1701;617;25.44;56;96;1.86;3.2;2081;1675;32.47;100;303;3.33;10.1;776;708;46.04;105;182;3.5;6.06;131;122;74.59;37;46;1.23;1.53;51;47;97.87;31;30;1.03;1
2019/12;31;4678;3153;36.06;140;621;4.51;20.03;1531;529;25.7;41;76;1.32;2.45;2104;1665;31.47;107;279;3.45;9;864;793;44.76;83;186;2.67;6;132;122;66.39;43;50;1.38;1.61;47;44;93.18;25;30;0.8;0.96
2020/01;31;5065;3562;34.22;151;694;4.87;22.38;1761;722;23.4;55;104;1.77;3.35;2240;1844;29.22;103;306;3.32;9.87;888;825;46.78;94;203;3.03;6.54;127;125;64;48;49;1.54;1.58;49;46;97.82;34;32;1.09;1.03
2020/02;29;5056;3298;34.8;144;667;4.96;23;1919;692;23.98;58;100;2;3.44;2183;1739;29.21;104;300;3.58;10.34;796;721;49.51;99;200;3.41;6.89;107;97;72.16;33;37;1.13;1.27;51;49;95.91;30;30;1.03;1.03
2020/03;31;5857;3792;32.12;147;706;4.74;22.77;2170;774;24.03;57;109;1.83;3.51;2657;2089;27.04;112;317;3.61;10.22;853;767;44.85;97;200;3.12;6.45;118;107;68.22;35;45;1.12;1.45;59;55;90.9;31;35;1;1.12
2020/04;30;7128;4429;30.45;153;765;5.09;25.5;3071;1136;16.72;61;114;2.03;3.8;2996;2391;27.93;113;372;3.76;12.4;857;739;49.25;87;202;2.9;6.73;145;112;68.75;48;43;1.6;1.43;59;51;98.03;44;34;1.46;1.13
2020/05;31;8025;5287;30.56;165;924;5.32;29.8;3457;1473;17.51;62;149;2;4.8;3399;2742;27.49;126;442;4.06;14.25;970;886;51.46;102;249;3.29;8.03;145;135;72.59;46;47;1.48;1.51;54;51;98.03;35;37;1.12;1.19
2020/06;30;7305;4867;30.4;155;818;5.16;27.26;2974;1298;16.94;59;122;1.96;4.06;3211;2543;27.68;111;386;3.7;12.86;936;853;49;111;229;3.7;7.63;124;116;69.82;37;40;1.23;1.33;60;57;100;43;41;1.43;1.36
2020/07;31;7092;4716;32.08;162;906;5.22;29.22;2948;1272;17.92;48;134;1.54;4.32;3024;2427;29.54;130;458;4.19;14.77;921;834;50.11;96;229;3.09;7.38;138;127;74.8;41;43;1.32;1.38;61;56;98.21;40;42;1.29;1.35
2020/08;31;6622;4564;31.85;165;840;5.32;27.09;2531;1095;20.18;54;129;1.74;4.16;2923;2386;27.4;126;393;4.06;12.67;973;905;48.72;99;235;3.19;7.58;139;126;69.04;46;51;1.48;1.64;56;52;98.07;37;32;1.19;1.03
2020/09;30;5427;3671;30.72;147;643;4.9;21.43;2205;957;16.71;46;97;1.53;3.23;2241;1818;27.66;98;286;3.26;9.53;813;735;46.25;92;183;3.06;6.1;117;111;71.17;45;47;1.5;1.56;51;50;92;38;30;1.26;1
2020/10;31;5716;3889;29.54;144;711;4.64;22.93;2315;1032;18.6;57;130;1.83;4.19;2397;1933;26.28;105;336;3.38;10.83;829;763;42.85;90;190;2.9;6.12;123;115;67.82;33;29;1.06;0.93;52;46;95.65;29;26;0.93;0.83
2020/11;30;5370;3487;30.39;149;689;4.96;22.96;2070;795;17.35;45;92;1.5;3.06;2324;1813;26.69;112;335;3.73;11.16;821;738;44.17;89;200;2.96;6.66;108;98;73.46;37;38;1.23;1.26;47;43;93.02;26;24;0.86;0.8
2020/12;31;5638;3769;32.23;163;727;5.25;23.45;2184;892;18.72;54;112;1.74;3.61;2345;1868;28.58;110;315;3.54;10.16;924;843;45.67;113;218;3.64;7.03;130;114;69.29;51;48;1.64;1.54;55;52;96.15;37;34;1.19;1.09
2021/01;31;5924;3959;31.47;147;760;4.74;24.51;2315;945;16.19;50;102;1.61;3.29;2496;1995;28.72;93;351;3;11.32;941;862;46.17;102;241;3.29;7.77;115;105;66.66;31;30;1;0.96;57;52;100;38;36;1.22;1.16
