DateYYYYMM;DaysInMonth;TotalPosts;RemainingPosts;AnsweredRate;FlairsWhoAnswered;FlairAnsweredQuestions;AvgFlairsWhoAnsweredPerDay;AvgFlairAnswersPerDay;Over1TotalPosts;Over1RemainingPosts;Over1AnsweredRate;Over1FlairsWhoAnswered;Over1FlairAnsweredQuestions;Over1AvgFlairsWhoAnsweredPerDay;Over1AvgFlairAnswersPerDay;Over10TotalPosts;Over10RemainingPosts;Over10AnsweredRate;Over10FlairsWhoAnswered;Over10FlairAnsweredQuestions;Over10AvgFlairsWhoAnsweredPerDay;Over10AvgFlairAnswersPerDay;Over20TotalPosts;Over20RemainingPosts;Over20AnsweredRate;Over20FlairsWhoAnswered;Over20FlairAnsweredQuestions;Over20AvgFlairsWhoAnsweredPerDay;Over20AvgFlairAnswersPerDay;Over100TotalPosts;Over100RemainingPosts;Over100AnsweredRate;Over100FlairsWhoAnswered;Over100FlairAnsweredQuestions;Over100AvgFlairsWhoAnsweredPerDay;Over100AvgFlairAnswersPerDay;Over1000TotalPosts;Over1000RemainingPosts;Over1000AnsweredRate;Over1000FlairsWhoAnswered;Over1000FlairAnsweredQuestions;Over1000AvgFlairsWhoAnsweredPerDay;Over1000AvgFlairAnswersPerDay
2018/02;28;4829;3456;40.76;148;795;5.28;28.39;3442;2937;44.09;148;735;5.28;26.25;1295;1186;59.02;129;393;4.6;14.03;762;713;70.68;118;277;4.21;9.89;240;229;85.58;81;112;2.89;4;44;44;97.72;36;34;1.28;1.21
2018/03;31;5466;3830;40.41;152;799;4.9;25.77;3916;3324;42.44;150;744;4.83;24;1479;1377;56.71;126;395;4.06;12.74;876;831;64.01;114;261;3.67;8.41;279;271;77.85;86;114;2.77;3.67;52;50;96;45;30;1.45;0.96
2018/04;30;5507;3875;40.59;148;783;4.93;26.1;3894;3335;42.39;148;728;4.93;24.26;1488;1369;56.39;132;407;4.4;13.56;878;818;63.32;116;273;3.86;9.1;293;273;76.55;70;114;2.33;3.8;52;51;88.23;30;31;1;1.03
2018/05;31;5324;3828;37.59;151;729;4.87;23.51;3703;3184;39.72;146;629;4.7;20.29;1423;1331;54.01;128;337;4.12;10.87;885;836;61.24;117;236;3.77;7.61;269;255;79.21;77;95;2.48;3.06;51;49;95.91;22;26;0.7;0.83
2018/06;30;5226;3619;36.63;144;714;4.8;23.8;3513;2953;39.85;144;634;4.8;21.13;1308;1208;51.24;122;325;4.06;10.83;784;732;56.83;112;210;3.73;7;246;237;76.37;74;94;2.46;3.13;48;47;100;29;34;0.96;1.13
2018/07;31;5299;3721;38.59;145;786;4.67;25.35;3736;3177;40.32;140;699;4.51;22.54;1432;1327;54.55;123;368;3.96;11.87;870;815;61.34;113;245;3.64;7.9;253;236;72.88;75;85;2.41;2.74;49;48;93.75;34;25;1.09;0.8
2018/08;31;5046;3586;38.65;132;671;4.25;21.64;3626;3105;40.45;132;616;4.25;19.87;1382;1270;57;122;359;3.93;11.58;855;787;65.05;112;255;3.61;8.22;244;220;78.63;68;80;2.19;2.58;57;53;90.56;34;28;1.09;0.9
2018/09;30;4986;3575;37.37;138;643;4.59;21.43;3445;2960;39.86;138;568;4.59;18.93;1427;1323;52.68;122;333;4.06;11.1;896;841;61.11;102;238;3.4;7.93;272;260;80.38;71;98;2.36;3.26;55;53;94.33;30;27;1;0.9
2018/10;31;5410;3770;35.01;135;582;4.35;18.77;3815;3262;37;134;527;4.32;17;1417;1328;52.71;108;290;3.48;9.35;818;782;61.63;101;197;3.25;6.35;235;225;77.77;66;83;2.12;2.67;52;50;92;32;21;1.03;0.67
2018/11;30;5485;3758;29.9;134;549;4.46;18.3;3717;3140;31.56;131;478;4.36;15.93;1304;1212;45.29;115;279;3.83;9.3;781;738;54.74;102;200;3.4;6.66;219;212;74.52;71;90;2.36;3;49;49;97.95;44;40;1.46;1.33
2018/12;31;5204;3615;33.96;130;585;4.19;18.87;3849;3186;35.78;128;546;4.12;17.61;1546;1418;49.36;114;336;3.67;10.83;916;853;57.32;106;233;3.41;7.51;267;249;77.51;69;99;2.22;3.19;56;54;100;37;32;1.19;1.03
2019/01;31;5251;3611;34.53;135;667;4.35;21.51;3875;3181;36.18;132;618;4.25;19.93;1539;1399;49.82;120;364;3.87;11.74;897;824;57.4;102;231;3.29;7.45;257;244;74.59;67;87;2.16;2.8;61;59;98.3;36;34;1.16;1.09
2019/02;28;4842;3398;31.04;128;532;4.57;19;3456;2938;32.7;127;487;4.53;17.39;1173;1096;48.99;108;266;3.85;9.5;686;643;56.76;95;175;3.39;6.25;223;217;75.11;58;78;2.07;2.78;52;50;96;32;30;1.14;1.07
2019/03;31;5344;3595;33.32;127;626;4.09;20.19;3615;2980;35.83;122;551;3.93;17.77;1301;1195;50.12;110;323;3.54;10.41;739;686;57.28;96;208;3.09;6.7;224;214;80.37;68;96;2.19;3.09;58;55;94.54;40;33;1.29;1.06
2019/04;30;5308;3539;29.89;124;536;4.13;17.86;3478;2860;32.41;121;471;4.03;15.7;1097;1012;47.23;100;227;3.33;7.56;642;594;57.4;83;158;2.76;5.26;208;196;76.53;52;71;1.73;2.36;54;52;90.38;22;23;0.73;0.76
2019/05;31;5049;3361;30.67;130;524;4.19;16.9;3165;2621;34.79;126;459;4.06;14.8;1103;1010;48.11;105;246;3.38;7.93;643;589;53.82;89;152;2.87;4.9;220;201;68.15;56;68;1.8;2.19;57;54;90.74;30;31;0.96;1
2019/06;30;4784;3270;31.13;119;509;3.96;16.96;3071;2532;34.43;113;426;3.76;14.2;1012;918;50.87;95;223;3.16;7.43;604;552;56.15;81;151;2.7;5.03;164;154;80.51;53;62;1.76;2.06;50;50;96;33;30;1.1;1
2019/07;31;5281;3710;32.66;126;620;4.06;20;3426;2916;36.45;123;543;3.96;17.51;1145;1059;49.57;107;287;3.45;9.25;676;636;57.07;98;198;3.16;6.38;200;187;80.74;66;85;2.12;2.74;52;48;95.83;44;28;1.41;0.9
2019/08;31;5061;3396;33.51;144;674;4.64;21.74;3150;2631;37.21;138;583;4.45;18.8;988;916;48.58;111;264;3.58;8.51;563;526;54.56;99;171;3.19;5.51;175;163;73;72;73;2.32;2.35;47;44;95.45;50;31;1.61;1
2019/09;30;4559;3137;35.89;134;681;4.46;22.7;2836;2428;39.29;127;579;4.23;19.3;893;826;54.35;114;267;3.8;8.9;535;499;61.92;93;177;3.1;5.9;164;152;77.63;56;58;1.86;1.93;47;43;95.34;31;29;1.03;0.96
2019/10;31;4581;3160;34.9;128;577;4.12;18.61;2928;2488;38.26;123;486;3.96;15.67;904;834;52.75;103;221;3.32;7.12;524;485;59.79;83;139;2.67;4.48;166;152;75;53;61;1.7;1.96;54;50;92;31;29;1;0.93
2019/11;30;4740;3169;36.73;152;657;5.06;21.9;3039;2552;39.45;145;561;4.83;18.7;958;877;52.79;123;258;4.09;8.6;553;507;61.93;105;184;3.5;6.13;182;169;81.06;63;76;2.1;2.53;51;47;97.87;36;30;1.2;1
2019/12;31;4678;3153;36.06;140;621;4.51;20.03;3147;2624;38.14;137;545;4.41;17.58;1043;959;49.73;105;266;3.38;8.58;588;547;58.31;93;180;3;5.8;179;166;73.49;60;80;1.93;2.58;47;44;93.18;31;30;1;0.96
2020/01;31;5065;3562;34.22;151;694;4.87;22.38;3304;2840;36.97;146;590;4.7;19.03;1064;996;51.3;123;284;3.96;9.16;616;584;57.53;109;186;3.51;6;176;171;73.09;74;81;2.38;2.61;49;46;97.82;39;32;1.25;1.03
2020/02;29;5056;3298;34.8;144;667;4.96;23;3137;2606;37.68;138;567;4.75;19.55;954;867;54.67;111;267;3.82;9.2;555;510;61.56;91;173;3.13;5.96;158;146;80.13;52;67;1.79;2.31;51;49;95.91;33;30;1.13;1.03
2020/03;31;5857;3792;32.12;147;706;4.74;22.77;3687;3018;34.19;144;597;4.64;19.25;1030;929;50.26;115;280;3.7;9.03;573;525;57.52;95;186;3.06;6;177;162;75.92;61;80;1.96;2.58;59;55;90.9;38;35;1.22;1.12
2020/04;30;7128;4429;30.45;153;765;5.09;25.5;4057;3293;35.19;152;651;5.06;21.7;1061;902;54.43;123;279;4.09;9.3;641;528;60.79;108;180;3.6;6;204;163;77.91;80;77;2.66;2.56;59;51;98.03;53;34;1.76;1.13
2020/05;31;8025;5287;30.56;165;924;5.32;29.8;4568;3814;35.6;162;775;5.22;25;1169;1072;56.34;124;333;4;10.74;669;620;62.58;109;211;3.51;6.8;199;186;79.56;76;84;2.45;2.7;54;51;98.03;44;37;1.41;1.19
